Num	Fecha	Tipo	Autorizacion	Codigo1	Codigo2	Sucursal	Referencia	Referencia Alfanumerica	Importe
83	09/05/2014	A	207370	15	0	414	5026537646	5026537646	329.00
84	09/05/2014	A	207370	7	31	414	5026537646	329	0.00
85	09/05/2014	A	207371	15	0	414	5023141285	5023141285	196.00
86	09/05/2014	A	207371	7	31	414	5023141285	196	0.00
87	09/05/2014	A	224531	17	0	859	40657	gas D 403  Segovia 6	218.00
88	09/05/2014	A	231260	17	0	859	1	Ref No 5026236843	548.00
89	09/05/2014	A	233958	15	0	563	5023652265	5023652265	270.00
90	09/05/2014	A	233958	7	31	563	5023652265	270	0.00
91	09/05/2014	A	235563	17	0	859	90514	GAS10166781 MAYO	384.00
92	09/05/2014	A	242622	15	0	575	5023306326	5023306326	48.00
93	09/05/2014	A	242622	7	31	575	5023306326	48	0.00
94	09/05/2014	A	242741	15	0	575	5023858425	5023858425	236.00
95	09/05/2014	A	242741	7	31	575	5023858425	236	0.00
96	09/05/2014	A	248294	15	0	4189	5023734394	5023734394	204.00
97	09/05/2014	A	248294	7	31	4189	5023734394	204	0.00
98	09/05/2014	A	248339	15	0	4189	5023618480	5023618480	321.00
99	09/05/2014	A	248339	7	31	4189	5023618480	321	0.00
100	09/05/2014	A	248438	15	0	4189	5026684257	5026684257	317.00
101	09/05/2014	A	248438	7	31	4189	5026684257	317	0.00
102	09/05/2014	A	248613	17	0	859	1	5023953218	204.00
103	09/05/2014	A	273826	15	0	541	5026737923	5026737923	133.00
104	09/05/2014	A	273826	7	31	541	5026737923	133	0.00
105	09/05/2014	A	274479	17	0	859	9052014	5023952525	73.00
106	09/05/2014	A	276757	17	0	859	5026281	5026281146	161.00
107	09/05/2014	A	281065	15	0	4978	1000081644	1000081644	362.00
108	09/05/2014	A	281065	7	31	4978	1000081644	362	0.00
109	09/05/2014	A	281308	17	0	859	90514	5026262971	488.00
110	09/05/2014	A	281465	15	0	160	5026700087	5026700087	256.00
111	09/05/2014	A	281465	7	31	160	5026700087	256	0.00
112	09/05/2014	A	285449	17	0	859	9052014	5023299059	268.00
113	09/05/2014	A	288584	17	0	859	3	5026579374	71.00
114	09/05/2014	A	292574	17	0	859	33165	Consumo Abril Delta 	351.00
115	09/05/2014	A	306551	17	0	859	90514	5026439157	74.00
116	09/05/2014	A	310703	15	0	870	5025765248	DEPTO 406 VITA CENTR	343.00
117	09/05/2014	A	316365	15	0	344	1000026375	1000026375	125.00
118	09/05/2014	A	316365	7	31	344	1000026375	125	0.00
119	09/05/2014	A	320679	17	0	859	5	PAGO CONSUMO	156.00
120	09/05/2014	A	326710	15	0	125	5023393449	5023393449	51.00
121	09/05/2014	A	326710	7	31	125	5023393449	51	0.00
122	09/05/2014	A	332558	17	0	859	9885573	87865  87866  87868	"16,017.60"
123	09/05/2014	A	335470	15	0	241	5026659556	5026659556	177.00
124	09/05/2014	A	335470	7	31	241	5026659556	177	0.00
125	09/05/2014	A	335524	15	0	241	5023135758	5023135758	300.00
126	09/05/2014	A	335524	7	31	241	5023135758	300	0.00
127	09/05/2014	A	335807	15	0	241	1000087229	1000087229	250.00
128	09/05/2014	A	335807	7	31	241	1000087229	250	0.00
129	09/05/2014	A	335837	15	0	241	5025939892	5025939892	245.00
130	09/05/2014	A	335837	7	36	241	5025939892	245	0.00
131	09/05/2014	A	342168	17	0	859	3129876	5023129876 MAYO	74.00
132	09/05/2014	A	349991	15	0	508	5023129173	5023129173	282.00
133	09/05/2014	A	349991	7	31	508	5023129173	282	0.00
134	09/05/2014	A	350123	15	0	508	5023429409	5023429409	88.00
135	09/05/2014	A	350123	7	31	508	5023429409	88	0.00
136	09/05/2014	A	350306	15	0	508	5023270670	5023270670	346.00
137	09/05/2014	A	350306	7	31	508	5023270670	346	0.00
138	09/05/2014	A	350417	15	0	508	5025654699	5025654699	218.00
139	09/05/2014	A	350417	7	31	508	5025654699	218	0.00
140	09/05/2014	A	354365	15	0	197	5026384312	5026384312	"1,471.00"
141	09/05/2014	A	354365	7	31	197	5026384312	1471	0.00
142	09/05/2014	A	354985	17	0	859	90514	5023896391	453.00
143	09/05/2014	A	358929	17	0	859	380	5026048784	380.00
144	09/05/2014	A	376784	17	0	859	90514	5026417260	"7,220.00"
145	09/05/2014	A	377020	15	0	5197	1000010569	1000010569	261.00
146	09/05/2014	A	377020	7	31	5197	1000010569	261	0.00
147	09/05/2014	A	377723	17	0	859	5553585	5025765586 VITA104FE	95.00
148	09/05/2014	A	386276	15	0	5198	5026738988	5026738988	342.00
149	09/05/2014	A	386276	7	31	5198	5026738988	342	0.00
150	09/05/2014	A	388034	17	0	859	3614687	GAS DE ABRIL 2014 MO	254.00
151	09/05/2014	A	401342	15	0	378	5026149053	5026149053	42.00
152	09/05/2014	A	401342	7	31	378	5026149053	42	0.00
153	09/05/2014	A	406459	15	0	283	5023306250	5023306250	511.00
154	09/05/2014	A	406459	7	31	283	5023306250	511	0.00
155	09/05/2014	A	406566	15	0	283	5026347590	5026347590	250.00
156	09/05/2014	A	406566	7	31	283	5026347590	250	0.00
157	09/05/2014	A	406760	15	0	283	5023743601	5023743601	360.00
158	09/05/2014	A	406760	7	31	283	5023743601	360	0.00
159	09/05/2014	A	414812	15	0	8189	5026358886	5026358886	300.00
160	09/05/2014	A	414812	7	31	8189	5026358886	300	0.00
161	09/05/2014	A	414813	15	0	8189	5026359009	5026359009	161.00
162	09/05/2014	A	414813	7	31	8189	5026359009	161	0.00
163	09/05/2014	A	433607	15	0	236	5023359374	5023359374	159.00
164	09/05/2014	A	433607	7	31	236	5023359374	159	0.00
165	09/05/2014	A	441999	15	0	7550	5023551459	5023551459	118.00
166	09/05/2014	A	441999	7	31	7550	5023551459	118	0.00
167	09/05/2014	A	449341	15	0	9602	5023820862	5023820862	243.00
168	09/05/2014	A	449341	7	31	9602	5023820862	243	0.00
169	09/05/2014	A	449499	15	0	9602	5023952988	B304	370.00
170	09/05/2014	A	449499	7	31	9602	5023952988	370	0.00
171	09/05/2014	A	466111	15	0	242	5026575083	5026575083	"6,108.83"
172	09/05/2014	A	466111	7	31	242	5026575083	6108.83	0.00
173	09/05/2014	A	469947	15	0	4154	5023704454	5023704454	710.00
174	09/05/2014	A	469947	7	36	4154	5023704454	710	0.00
175	09/05/2014	A	497703	15	0	7555	5023273195	5023273195	277.00
176	09/05/2014	A	497703	7	31	7555	5023273195	277	0.00
177	09/05/2014	A	502783	15	0	266	5023805285	5023805285	342.00
178	09/05/2014	A	502783	7	31	266	5023805285	342	0.00
179	09/05/2014	A	514336	15	0	4152	5023331597	5023331597	149.00
180	09/05/2014	A	514336	7	31	4152	5023331597	149	0.00
181	09/05/2014	A	515852	15	0	7989	5023207243	5023207243	222.00
182	09/05/2014	A	515852	7	31	7989	5023207243	222	0.00
183	09/05/2014	A	518284	15	0	232	5026592617	5026592617	190.00
184	09/05/2014	A	518284	7	31	232	5026592617	190	0.00
185	09/05/2014	A	531759	15	0	234	5023134785	5023134785	256.00
186	09/05/2014	A	531759	7	31	234	5023134785	256	0.00
187	09/05/2014	A	552046	15	0	321	5023954125	5023954125	264.00
188	09/05/2014	A	552046	7	31	321	5023954125	264	0.00
189	09/05/2014	A	615996	15	0	4086	1000041887	1000041887	320.00
190	09/05/2014	A	615996	7	31	4086	1000041887	320	0.00
191	09/05/2014	A	624727	15	0	4034	5023720484	5023720484	391.00
192	09/05/2014	A	624727	7	31	4034	5023720484	391	0.00
193	09/05/2014	A	649682	15	0	256	5023219982	5023219982	237.00
194	09/05/2014	A	649682	7	31	256	5023219982	237	0.00
195	09/05/2014	A	650092	15	0	256	1000034148	1000034148	"3,241.00"
196	09/05/2014	A	650092	7	31	256	1000034148	3241	0.00
197	09/05/2014	A	652331	15	0	948	5023351108	5023351108	486.00
198	09/05/2014	A	652331	7	31	948	5023351108	486	0.00
199	09/05/2014	A	652923	15	0	948	5023496366	5023496366	73.00
200	09/05/2014	A	652923	7	31	948	5023496366	73	0.00
201	09/05/2014	A	662400	15	0	7259	5026281377	5026281377	269.00
202	09/05/2014	A	662400	7	31	7259	5026281377	269	0.00
203	09/05/2014	A	672718	15	0	4668	1000022267	1000022267	326.00
204	09/05/2014	A	672718	7	31	4668	1000022267	326	0.00
205	09/05/2014	A	672919	15	0	4668	5026740067	5026740067	343.00
206	09/05/2014	A	672919	7	31	4668	5026740067	343	0.00
207	09/05/2014	A	703038	15	0	260	5025993493	5025993493	215.00
208	09/05/2014	A	703038	7	31	260	5025993493	215	0.00
209	09/05/2014	A	703546	15	0	515	5026048404	5026048404	308.00
210	09/05/2014	A	703546	7	31	515	5026048404	308	0.00
211	09/05/2014	A	713080	15	0	4144	1000032928	1000032928	497.00
212	09/05/2014	A	713080	7	31	4144	1000032928	497	0.00
213	09/05/2014	A	715032	15	0	650	5026739200	5026739200	254.00
214	09/05/2014	A	715032	7	31	650	5026739200	254	0.00
215	09/05/2014	A	715330	15	0	650	1000010452	1000010452	472.00
216	09/05/2014	A	715330	7	31	650	1000010452	472	0.00
217	09/05/2014	A	715883	15	0	650	5026737949	5026737949	319.00
218	09/05/2014	A	715883	7	31	650	5026737949	319	0.00
219	09/05/2014	A	721289	15	0	4339	5023274854	5023274854	340.00
220	09/05/2014	A	721289	7	31	4339	5023274854	340	0.00
221	09/05/2014	A	721305	15	0	4339	5023143208	5023143208	176.00
222	09/05/2014	A	721305	7	31	4339	5023143208	176	0.00
223	09/05/2014	A	721352	15	0	4339	5026684208	5026684208	123.00
224	09/05/2014	A	721352	7	31	4339	5026684208	123	0.00
225	09/05/2014	A	721359	15	0	4339	1000036127	1000036127	212.00
226	09/05/2014	A	721359	7	31	4339	1000036127	212	0.00
227	09/05/2014	A	749826	15	0	185	5025618611	5025618611	483.00
228	09/05/2014	A	749826	7	31	185	5025618611	483	0.00
229	09/05/2014	A	755378	15	0	4776	5023991283	2023991283	164.00
230	09/05/2014	A	755378	7	31	4776	5023991283	164	0.00
231	09/05/2014	A	763508	15	0	694	5026305101	5026305101	86.00
232	09/05/2014	A	763508	7	31	694	5026305101	86	0.00
233	09/05/2014	A	763509	15	0	694	5026305101	5026305101	114.00
234	09/05/2014	A	763509	7	31	694	5026305101	114	0.00
235	09/05/2014	A	765875	15	0	4779	5023500910	5023500910	738.00
236	09/05/2014	A	765875	7	31	4779	5023500910	738	0.00
237	09/05/2014	A	781158	15	0	141	1000045680	1000045680	150.00
238	09/05/2014	A	781158	7	31	141	1000045680	150	0.00
239	09/05/2014	A	784848	15	0	9193	5024012253	5024012253	285.00
240	09/05/2014	A	784848	7	31	9193	5024012253	285	0.00
241	09/05/2014	A	784924	15	0	994	1000035996	1000035996	257.00
242	09/05/2014	A	784924	7	31	994	1000035996	257	0.00
243	09/05/2014	A	784998	15	0	9193	5023805459	5023805459	116.00
244	09/05/2014	A	784998	7	31	9193	5023805459	116	0.00
245	09/05/2014	A	814747	15	0	701	5023379109	5023379109	411.00
246	09/05/2014	A	814747	7	31	701	5023379109	411	0.00
247	09/05/2014	A	816812	15	0	746	1000026292	1000026292	414.00
248	09/05/2014	A	816812	7	31	746	1000026292	414	0.00
249	09/05/2014	A	816826	15	0	746	1000026276	1000026276	201.00
250	09/05/2014	A	816826	7	31	746	1000026276	201	0.00
251	09/05/2014	A	843258	15	0	4184	1000053940	1000053940	145.00
252	09/05/2014	A	843258	7	31	4184	1000053940	145	0.00
