NumFactura|Referencia1|Referencia2|Referencia3|Referencia4|Importe Bruto|Descuentos/Recargos|Importe Neto|Medio de Pago|Forma de Pago|Folio de Pago|Sucursal|Hora|Fecha Vencimiento|Fecha de Pago
36674|0000000000000000000000000000005023547879||||$181.00|$0.00|$181.00|Ventanilla|Efectivo|06883190039187036674 |0688|12:57:22 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026159953||||$370.00|$0.00|$370.00|Ventanilla|Efectivo|06913190052019036674 |0691|01:06:02 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026159953||||$238.00|$0.00|$238.00|Ventanilla|Efectivo|06913190053283036674 |0691|01:06:51 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000001000152312||||$520.00|$0.00|$520.00|Ventanilla|Efectivo|07063190054764036674 |0706|01:08:30 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023137366||||$842.00|$0.00|$842.00|Ventanilla|Efectivo|05583190062394036674 |0558|01:14:57 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023129868||||$131.00|$0.00|$131.00|Ventanilla|Efectivo|09543190083216036674 |0954|01:29:37 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026592559||||$291.00|$0.00|$291.00|Ventanilla|Efectivo|01553190098402036674 |0155|01:37:55 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026500636||||$350.00|$0.00|$350.00|Ventanilla|Efectivo|02443190007534036674 |0244|01:43:48 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023716433||||$300.00|$0.00|$300.00|Ventanilla|Efectivo|00023190007539036674 |0002|01:46:09 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023503583||||$398.00|$0.00|$398.00|Ventanilla|Efectivo|02753190011731036674 |0275|01:49:00 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023671679||||$194.00|$0.00|$194.00|Ventanilla|Efectivo|13333190065543036674 |1333|01:59:48 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026257252||||$216.00|$0.00|$216.00|Ventanilla|Efectivo|06883190037686036674 |0688|02:04:22 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023430118||||$519.00|$0.00|$519.00|Ventanilla|Efectivo|06843190034967036674 |0684|02:05:44 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000001000032571||||$185.00|$0.00|$185.00|Ventanilla|Efectivo|20963190053551036674 |2096|02:15:12 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005261405494||||$280.00|$0.00|$280.00|Ventanilla|Efectivo|20433190053651036674 |2043|02:15:17 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023867517||||$172.00|$0.00|$172.00|Ventanilla|Efectivo|14113190055726036674 |1411|02:16:51 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023867392||||$137.00|$0.00|$137.00|Ventanilla|Efectivo|14113190056513036674 |1411|02:17:25 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023867483||||$155.00|$0.00|$155.00|Ventanilla|Efectivo|14113190052511036674 |1411|02:17:57 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023867541||||$367.00|$0.00|$367.00|Ventanilla|Efectivo|14113190057612036674 |1411|02:18:24 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023618456||||$141.00|$0.00|$141.00|Ventanilla|Efectivo|14163190075275036674 |1416|02:35:49 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023551574||||$83.00|$0.00|$83.00|Ventanilla|Efectivo|13783190022752036674 |1378|03:04:26 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023618910||||$217.00|$0.00|$217.00|Ventanilla|Efectivo|00033190026934036674 |0003|03:08:44 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023618860||||$28.00|$0.00|$28.00|Ventanilla|Efectivo|00033190071754036674 |0003|03:09:24 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026655760||||$320.00|$0.00|$320.00|Ventanilla|Efectivo|03603190026020036674 |0360|03:12:18 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000001000044279||||$459.00|$0.00|$459.00|Ventanilla|Efectivo|06753190045834036674 |0675|03:25:29 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023788770||||$446.00|$0.00|$446.00|Ventanilla|Efectivo|22673190055713036674 |2267|03:32:09 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023135865||||$143.00|$0.00|$143.00|Ventanilla|Efectivo|11893190073130036674 |1189|03:42:29 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005025655019||||$399.00|$0.00|$399.00|Ventanilla|Efectivo|24743190020924036674 |2474|03:42:39 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023142093||||$76.00|$0.00|$76.00|Ventanilla|Efectivo|06863190082441036674 |0686|03:48:02 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000001000008720||||$137.00|$0.00|$137.00|Ventanilla|Efectivo|20793190085139036674 |2079|03:49:55 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023953606||||$72.00|$0.00|$72.00|Ventanilla|Efectivo|20213190099508036674 |2021|04:05:06 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005023431108||||$354.00|$0.00|$354.00|Ventanilla|Efectivo|21623190016593036674 |2162|04:21:31 p.m.|00/00/0000|09/07/2013
36674|0000000000000000000000000000005026611631||||$334.00|$0.00|$334.00|Ventanilla|Efectivo|03883190087110036674 |0388|04:31:19 p.m.|00/00/0000|09/07/2013
